measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.0731117605151037,0.12364662094347732,0.039373513235011086
Deaths,East Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.08058845795655425,0.13440447886316315,0.043859190554076194
Deaths,Central Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,6701.068499530381,10788.682760110372,3787.758494533793
Deaths,Central Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,11.845721416048013,19.071545147067766,6.695757836330304
Deaths,Central Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,11.029539961801524,17.620576775639417,6.114785144301498
Deaths,Eastern Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,35.6506624376608,54.53002763205603,22.997049038862688
Deaths,Eastern Europe,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.01570984811706589,0.024029243591671516,0.010133897179974915
Deaths,Eastern Europe,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.01627608086969552,0.024213118303622477,0.010837957731657038
Deaths,High-income Asia Pacific,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,16.306965869623998,24.50226198552452,11.041008013821584
Deaths,High-income Asia Pacific,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.009360096166607186,0.014064144753692377,0.0063374693742480675
Deaths,High-income Asia Pacific,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.009585787991520187,0.014406370868355703,0.0065200355138444474
Deaths,Australasia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,2.5575886571680546,3.053973192076216,2.1072096406853746
Deaths,Australasia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.012452419565732722,0.014869222782815248,0.010259608590783256
Deaths,Australasia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.011547737990564539,0.013665975378995795,0.009628415618628662
Deaths,Southern Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,790.4577788390126,1504.5253010971423,400.9022232606784
Deaths,Southern Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,1.5079853483357402,2.8702381973990057,0.7648159015909347
Deaths,Southern Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,1.4220363807597107,2.5056491545907016,0.7667280593038877
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,8465.252306456048,13776.804898776163,4716.036915712407
Deaths,Eastern Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,4.31287433137771,7.019002631618608,2.4027251431234555
Deaths,Eastern Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,3.5982734742114966,5.6200300420639735,1.9919366683193402
Deaths,South Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,7225.297157477522,11548.533753250367,3910.5141296496768
Deaths,South Asia,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.6483292443317284,1.0362552568008427,0.350892235345714
Deaths,South Asia,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.5940004920720886,0.9484161555672658,0.3240436561779334
Deaths,High-income North America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,69.10517287481206,76.03841454828871,62.86916607119505
Deaths,High-income North America,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.024282046188161353,0.02671823565915837,0.022090849799586688
Deaths,High-income North America,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.020586102352628217,0.022602379397249565,0.018847820147020942
Deaths,Caribbean,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,6.067192765564662,10.940092051479374,2.822531297277358
Deaths,Caribbean,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.0169581848631076,0.030578244436434227,0.007889152260465838
Deaths,Caribbean,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.017153991072316584,0.03136410164909466,0.008279141630941698
Deaths,Western Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,22210.214780977632,35880.57337822511,12459.921566092919
Deaths,Western Sub-Saharan Africa,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,11.195660064599192,18.086574417531743,6.280760796830274
Deaths,Western Sub-Saharan Africa,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,8.828312058290775,13.919342681712116,5.0202252570270005
Deaths,Low-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,13553.363090892883,20936.635041795034,7767.914736477591
Deaths,Low-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,1.1451241043673015,1.768937000353112,0.6563113779035096
Deaths,Low-middle SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,1.036094963475312,1.5755677456133936,0.5902914353431186
Deaths,Middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,4831.73133154464,7228.723812035816,2859.4979320567268
Deaths,Middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.27571092022988786,0.41248942822881424,0.16317024936706928
Deaths,Middle SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.28908158364981085,0.4222411028400575,0.1710674810876927
Deaths,High-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,570.8632186452502,900.0543624531042,337.71943976658537
Deaths,High-middle SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.053080266843762276,0.08368926946507631,0.03140198456589669
Deaths,High-middle SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.0561468423247209,0.08752827507460191,0.034034657154519934
Deaths,Oceania,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1992,17.484587011805182,28.98320794309291,9.481950395755216
Deaths,Oceania,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.25488462852516774,0.4225077884341881,0.13822479208026878
Deaths,Oceania,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1992,0.2682509005892016,0.4368511881225059,0.14585807426758046
Deaths,Low SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1990,29425.906403856985,47654.82250147391,16498.15381577027
Deaths,Low SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,5.869912681025445,9.50623722764078,3.291070153203664
Deaths,Low SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1990,4.767748228126048,7.4245079714732025,2.6668829529501377
Deaths,High SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Number,1991,478.68441339160194,589.958619018488,394.8367048035987
Deaths,High SDI,Both,All ages,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.05398750189225796,0.06653734938839212,0.04453089917151495
Deaths,High SDI,Both,Age-standardized,Invasive Non-typhoidal Salmonella (iNTS),Rate,1991,0.05004739768713612,0.06288547044402133,0.040590000123394025
