measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44635,High SDI,2,Female,14,45-49 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.008145543962481705,0.012841857434457173,0.004672260812846504
1,Deaths,44635,High SDI,3,Both,14,45-49 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.008911638545915142,0.013737104515456167,0.0053628386690367305
1,Deaths,44635,High SDI,1,Male,15,50-54 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.1869716786416245,7.3227455688539855,3.584350131972015
1,Deaths,44635,High SDI,2,Female,15,50-54 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,3.653580623080512,5.607596122966927,2.222788026425988
1,Deaths,44635,High SDI,3,Both,15,50-54 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,8.84055230172213,12.953522997313591,5.84808615292769
1,Deaths,44635,High SDI,1,Male,15,50-54 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.013848113989810455,0.019550177182078993,0.009569454448985838
1,Deaths,44635,High SDI,2,Female,15,50-54 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.009925823132209865,0.015234372265338398,0.006038733803031782
1,Deaths,44635,High SDI,3,Both,15,50-54 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.011904062515917774,0.01744229798079035,0.007874619230448203
1,Deaths,44635,High SDI,1,Male,16,55-59 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,7.066262175863872,10.059899684669412,4.6279262285124965
1,Deaths,44635,High SDI,2,Female,16,55-59 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,5.398360618737769,7.904589522707719,3.370556202333036
1,Deaths,44635,High SDI,3,Both,16,55-59 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,12.46462279460164,17.920780893669836,8.059980769531666
1,Deaths,44635,High SDI,1,Male,16,55-59 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.019505786906935253,0.027769456421324723,0.012774977857843987
1,Deaths,44635,High SDI,2,Female,16,55-59 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.014785902970421474,0.021650367946536728,0.009231824341461128
1,Deaths,44635,High SDI,3,Both,16,55-59 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.017136640471366222,0.024637887900944185,0.011081040712552425
1,Deaths,44635,High SDI,1,Male,17,60-64 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,9.72107903891567,14.206000275403529,6.514166428340526
1,Deaths,44635,High SDI,2,Female,17,60-64 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,7.463983230951884,11.325253380426505,4.672495231477233
1,Deaths,44635,High SDI,3,Both,17,60-64 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,17.185062269867558,25.269713536396882,11.233101600316513
1,Deaths,44635,High SDI,1,Male,17,60-64 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.02916326949174379,0.042618048137749845,0.019542520979744567
1,Deaths,44635,High SDI,2,Female,17,60-64 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.02142552864100991,0.03250938984733993,0.01341250071300477
1,Deaths,44635,High SDI,3,Both,17,60-64 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.025209066636961878,0.037068582146073066,0.016478032045229497
1,Deaths,44635,High SDI,1,Male,18,65-69 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,11.561334211303754,17.536231263646027,7.909297748072671
1,Deaths,44635,High SDI,2,Female,18,65-69 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,9.2413159032462,13.971149036569894,5.978321532648767
1,Deaths,44635,High SDI,3,Both,18,65-69 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,20.80265011454997,31.523500375607878,13.957173492698347
1,Deaths,44635,High SDI,1,Male,18,65-69 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.039793019161210544,0.060358049852707686,0.027223054976912003
1,Deaths,44635,High SDI,2,Female,18,65-69 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.029270936654303976,0.04425220636528889,0.0189357308757029
1,Deaths,44635,High SDI,3,Both,18,65-69 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.03431346949897705,0.05199725336354402,0.023022020958698243
